precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
139,3,1258,1178,33,3,11,33,45007-Craytonville,72,723,797,3,Jeff Duncan,Republican,White,0.68
140,3,1737,1522,74,34,38,69,45007-Denver-Sandy Springs,355,1013,1396,3,Jeff Duncan,Republican,White,0.68
141,3,2936,2032,578,108,117,101,45007-Edgewood Station A,506,909,1430,3,Jeff Duncan,Republican,White,0.68
142,3,2186,1776,233,25,73,79,45007-Edgewood Station B,428,1096,1543,3,Jeff Duncan,Republican,White,0.68
143,3,1616,1399,135,14,23,45,45007-Five Forks,325,1021,1365,3,Jeff Duncan,Republican,White,0.68
144,3,1991,1628,225,5,36,97,45007-Flat Rock,182,797,984,3,Jeff Duncan,Republican,White,0.68
145,3,1668,1529,69,6,25,39,45007-Fork No. 1,210,978,1205,3,Jeff Duncan,Republican,White,0.68
146,3,1936,1785,32,14,28,77,45007-Fork No. 2,236,1090,1346,3,Jeff Duncan,Republican,White,0.68
147,3,1069,977,72,0,3,17,45007-Friendship,112,652,770,3,Jeff Duncan,Republican,White,0.68
148,3,2099,1566,400,31,51,51,45007-Glenview,499,1030,1549,3,Jeff Duncan,Republican,White,0.68
149,3,2253,1408,499,11,252,83,45007-Gluck Mill,261,493,764,3,Jeff Duncan,Republican,White,0.68
150,3,2989,2586,220,9,75,99,45007-Green Pond Station A,416,1466,1904,3,Jeff Duncan,Republican,White,0.68
151,3,1974,1597,230,8,50,89,45007-Hall,183,838,1029,3,Jeff Duncan,Republican,White,0.68
152,3,2137,1883,98,44,61,51,45007-Hammond Annex,427,1073,1522,3,Jeff Duncan,Republican,White,0.68
153,3,2542,2112,187,94,85,64,45007-Hammond School,522,1488,2038,3,Jeff Duncan,Republican,White,0.68
154,3,665,606,24,0,7,28,45007-High Point,51,408,463,3,Jeff Duncan,Republican,White,0.68
155,3,749,643,49,1,29,27,45007-Homeland Park,48,273,322,3,Jeff Duncan,Republican,White,0.68
156,3,1646,1402,195,3,16,30,45007-Honea Path,189,822,1026,3,Jeff Duncan,Republican,White,0.68
157,3,1664,1377,112,71,54,50,45007-Hopewell,367,1007,1395,3,Jeff Duncan,Republican,White,0.68
158,3,4455,3858,226,46,158,167,45007-Hunt Meadows,786,2776,3603,3,Jeff Duncan,Republican,White,0.68
159,3,2085,1808,164,9,33,71,45007-Iva,139,1002,1153,3,Jeff Duncan,Republican,White,0.68
160,3,1617,1484,59,6,22,46,45007-Jackson Mill,111,884,1006,3,Jeff Duncan,Republican,White,0.68
161,3,1153,902,131,21,47,52,45007-LaFrance,192,546,749,3,Jeff Duncan,Republican,White,0.68
162,3,3061,1928,846,13,155,119,45007-Lakeside,580,1115,1708,3,Jeff Duncan,Republican,White,0.68
163,3,683,579,56,0,17,31,45007-Melton,121,459,585,3,Jeff Duncan,Republican,White,0.68
164,3,2717,2269,289,16,35,108,45007-Mount Tabor,492,1519,2045,3,Jeff Duncan,Republican,White,0.68
165,3,1341,1016,210,2,57,56,45007-Mountain Creek,122,429,558,3,Jeff Duncan,Republican,White,0.68
166,3,2537,2231,94,46,60,106,45007-Mt. Airy,363,1511,1895,3,Jeff Duncan,Republican,White,0.68
167,3,2673,1955,559,6,56,97,45007-Neal's Creek,421,1012,1445,3,Jeff Duncan,Republican,White,0.68
168,3,1998,1708,114,76,53,47,45007-North Pointe,379,1261,1661,3,Jeff Duncan,Republican,White,0.68
169,3,1097,960,34,4,49,50,45007-Pelzer,87,464,555,3,Jeff Duncan,Republican,White,0.68
