precinct_id,total,white,black,asian,hispanic,other
465,902,255,597,2,17,31
466,945,887,9,6,20,23
467,935,762,132,7,17,17
468,944,867,9,23,17,28
469,1578,1257,195,13,63,50
470,2426,2075,165,16,128,42
471,1458,850,475,15,69,49
472,1256,920,242,15,44,35
473,980,575,366,5,14,20
474,1838,764,818,33,124,99
475,6504,3379,1684,196,844,401
476,4119,2033,1439,169,322,156
477,2617,1118,928,179,210,182
478,1278,678,371,57,73,99
479,3746,1495,1237,150,669,195
480,1660,1084,497,1,45,33
481,792,768,1,3,4,16
482,1061,1015,4,8,18,16
483,935,892,0,7,17,19
484,1221,1134,6,17,19,45
485,1537,1465,6,6,27,33
486,1748,1468,128,23,39,90
487,1939,1673,139,27,48,52
488,1284,1146,18,11,33,76
489,1506,1415,7,19,27,38
490,895,813,25,4,13,40
491,1844,1559,117,21,68,79
492,1985,1599,205,44,60,77
493,1914,1626,127,42,49,70
494,2254,1796,273,26,73,86
495,1181,358,724,11,38,50
496,1640,1386,139,15,51,49
497,1598,1459,49,14,37,39
498,890,241,583,7,21,38
499,1366,1269,3,10,43,41
500,841,738,29,17,18,39
501,1575,1108,382,20,30,35
502,2088,1847,99,45,41,56
503,1604,1132,371,17,34,50
504,2240,1914,178,24,54,70
505,1553,1316,135,8,45,49
506,2190,1599,332,10,186,63
507,2651,1347,893,21,290,100
508,5859,4831,360,68,373,227
509,4421,3652,390,25,212,142
510,1803,1067,514,6,158,58
511,1490,730,474,11,222,53
512,1952,1857,20,22,28,25
513,3862,1797,1353,96,428,188
514,2589,1267,967,25,185,145
515,1615,772,802,1,8,32
516,1383,1187,138,6,30,22
517,995,898,9,11,22,55
518,1597,1475,39,23,35,25
519,2910,2552,116,72,93,77
520,1468,1241,117,17,57,36
521,1898,1637,97,45,59,60
522,2245,1904,221,24,49,47
523,708,669,9,3,3,24
524,3114,2755,112,57,99,91
525,1165,1070,27,13,16,39
526,2539,2163,95,87,133,61
527,1391,1230,20,30,71,40
528,1414,1218,125,16,24,31
529,1896,1702,48,51,52,43
530,1674,1354,183,51,49,37
531,2155,1651,274,84,72,74
532,856,756,20,14,37,29
533,1069,972,13,5,32,47
534,599,20,552,1,19,7
535,2872,2539,59,117,81,76
536,1129,1024,29,16,36,24
537,307,278,9,4,4,12
538,1639,1333,209,18,41,38
539,1907,1697,48,66,42,54
540,1575,1217,231,25,52,50
541,2502,2287,20,43,65,87
542,4033,3684,28,78,150,93
543,1818,1550,90,70,48,60
544,5553,4931,132,130,200,160
