precinct_id,district,representative,party,incumbent_race,margin
240,1,Nancy Mace,Republican,White,0.55
241,1,Nancy Mace,Republican,White,0.55
242,1,Nancy Mace,Republican,White,0.55
243,1,Nancy Mace,Republican,White,0.55
244,1,Nancy Mace,Republican,White,0.55
245,1,Nancy Mace,Republican,White,0.55
246,1,Nancy Mace,Republican,White,0.55
247,1,Nancy Mace,Republican,White,0.55
248,1,Nancy Mace,Republican,White,0.55
249,1,Nancy Mace,Republican,White,0.55
250,1,Nancy Mace,Republican,White,0.55
251,1,Nancy Mace,Republican,White,0.55
252,1,Nancy Mace,Republican,White,0.55
253,1,Nancy Mace,Republican,White,0.55
254,1,Nancy Mace,Republican,White,0.55
255,1,Nancy Mace,Republican,White,0.55
256,1,Nancy Mace,Republican,White,0.55
257,1,Nancy Mace,Republican,White,0.55
258,1,Nancy Mace,Republican,White,0.55
259,1,Nancy Mace,Republican,White,0.55
260,1,Nancy Mace,Republican,White,0.55
261,1,Nancy Mace,Republican,White,0.55
262,1,Nancy Mace,Republican,White,0.55
263,1,Nancy Mace,Republican,White,0.55
264,1,Nancy Mace,Republican,White,0.55
265,1,Nancy Mace,Republican,White,0.55
266,1,Nancy Mace,Republican,White,0.55
267,1,Nancy Mace,Republican,White,0.55
268,1,Nancy Mace,Republican,White,0.55
269,1,Nancy Mace,Republican,White,0.55
270,1,Nancy Mace,Republican,White,0.55
271,1,Nancy Mace,Republican,White,0.55
272,1,Nancy Mace,Republican,White,0.55
273,1,Nancy Mace,Republican,White,0.55
274,1,Nancy Mace,Republican,White,0.55
275,1,Nancy Mace,Republican,White,0.55
276,1,Nancy Mace,Republican,White,0.55
277,1,Nancy Mace,Republican,White,0.55
278,1,Nancy Mace,Republican,White,0.55
279,1,Nancy Mace,Republican,White,0.55
280,1,Nancy Mace,Republican,White,0.55
281,1,Nancy Mace,Republican,White,0.55
282,1,Nancy Mace,Republican,White,0.55
283,1,Nancy Mace,Republican,White,0.55
284,1,Nancy Mace,Republican,White,0.55
285,1,Nancy Mace,Republican,White,0.55
286,1,Nancy Mace,Republican,White,0.55
