precinct_id,GEOID,democratic_votes,republican_votes,total_votes
561,45019-North Charleston 15,543,102,662
562,45019-North Charleston 16,596,223,838
563,45019-North Charleston 17,400,112,520
564,45019-North Charleston 18,608,224,852
565,45019-North Charleston 19,519,135,664
566,45019-North Charleston 2,229,36,268
567,45019-North Charleston 20,259,229,494
568,45019-North Charleston 21,495,241,751
569,45019-North Charleston 22,454,194,660
570,45019-North Charleston 23,874,465,1359
571,45019-North Charleston 24,1018,373,1429
572,45019-North Charleston 25,284,80,374
573,45019-North Charleston 26,138,35,176
574,45019-North Charleston 27,372,147,529
575,45019-North Charleston 28,286,84,381
576,45019-North Charleston 29,246,123,373
577,45019-North Charleston 3,393,471,881
578,45019-North Charleston 30,824,300,1146
579,45019-North Charleston 4,522,84,625
580,45019-North Charleston 5,692,84,793
581,45019-North Charleston 6,578,49,639
582,45019-North Charleston 7,463,48,524
583,45019-North Charleston 8,468,196,688
584,45019-North Charleston 9,668,331,1022
585,45019-Seabrook,939,985,1950
586,45019-St. Andrews 1,338,158,506
587,45019-St. Andrews 10,475,275,767
588,45019-St. Andrews 11,349,389,750
589,45019-St. Andrews 12,429,402,854
590,45019-St. Andrews 13,389,392,801
591,45019-St. Andrews 14,558,426,1004
592,45019-St. Andrews 15,578,199,790
593,45019-St. Andrews 16,414,418,854
594,45019-St. Andrews 17,580,676,1284
595,45019-St. Andrews 18,763,331,1119
596,45019-St. Andrews 19,205,20,229
597,45019-St. Andrews 2,519,304,833
598,45019-St. Andrews 20,975,595,1604
599,45019-St. Andrews 21,288,263,561
600,45019-St. Andrews 22,409,491,920
601,45019-St. Andrews 23,387,261,656
602,45019-St. Andrews 24,517,271,798
603,45019-St. Andrews 25,640,340,1003
604,45019-St. Andrews 26,544,431,998
605,45019-St. Andrews 27,1851,1389,3312
606,45019-St. Andrews 28,1509,1510,3056
607,45019-St. Andrews 29,1354,1173,2580
608,45019-St. Andrews 3,766,238,1028
609,45019-St. Andrews 30,734,647,1403
610,45019-St. Andrews 31,412,454,890
611,45019-St. Andrews 32,384,460,871
612,45019-St. Andrews 33,303,403,717
613,45019-St. Andrews 34,810,1006,1841
614,45019-St. Andrews 35,569,785,1384
615,45019-St. Andrews 36,571,638,1231
616,45019-St. Andrews 37,1763,1947,3780
617,45019-St. Andrews 4,564,594,1183
618,45019-St. Andrews 5,666,484,1173
619,45019-St. Andrews 6,435,521,972
620,45019-St. Andrews 7,679,650,1356
621,45019-St. Andrews 8,436,128,580
622,45019-St. Andrews 9,605,69,687
623,45019-St. Pauls 1,426,176,612
624,45019-St. Pauls 2A,319,328,660
625,45019-St. Pauls 2B,555,462,1032
626,45019-St. Pauls 3,623,1220,1874
627,45019-St. Pauls 4,828,361,1217
628,45019-St. Pauls 5,365,414,790
629,45019-St. Pauls 6,721,1188,1928
630,45019-Sullivans Island,671,650,1350
631,45019-Wadmalaw Island 1,482,396,893
632,45019-Wadmalaw Island 2,572,357,950
633,45021-Allens,72,683,759
634,45021-Alma Mill,404,526,936
635,45021-Antioch and King's Creek,97,995,1101
636,45021-Ashworth,96,837,938
637,45021-Blacksburg Ward No. 1,150,485,643
638,45021-Blacksburg Ward No. 2,127,753,888
639,45021-Draytonville,195,939,1143
640,45021-Ezells and Butler,162,1003,1178
641,45021-Gaffney Ward No. 1,227,125,357
642,45021-Gaffney Ward No. 2,447,154,613
643,45021-Gaffney Ward No. 3,495,147,644
644,45021-Gaffney Ward No. 4,402,458,868
