precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
56,Oregon,5959,0.564616,0.435384,democratic,0.5646,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
57,Oregon,4357,0.586937,0.413063,democratic,0.5869,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
58,Oregon,1854,0.642608,0.357392,democratic,0.6426,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
60,Oregon,5033,0.636704,0.363296,democratic,0.6367,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
61,Oregon,2434,0.687098,0.312902,democratic,0.6871,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
62,Oregon,5198,0.663407,0.336593,democratic,0.6634,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
63,Oregon,431,0.595083,0.404917,democratic,0.5951,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,0.773623,0.226377,democratic,0.7736
64,Oregon,92,0.536932,0.463068,democratic,0.5369,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
65,Oregon,2657,0.644627,0.355373,democratic,0.6446,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
66,Oregon,4400,0.705487,0.294513,democratic,0.7055,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
67,Oregon,94,0.506252,0.493748,democratic,0.5063,0.939287,0.060713,democratic,0.9393,0.879758,0.120242,democratic,0.8798,0.773623,0.226377,democratic,0.7736
68,Oregon,4067,0.689559,0.310441,democratic,0.6896,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
69,Oregon,2642,0.655974,0.344026,democratic,0.656,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
70,Oregon,1671,0.668082,0.331918,democratic,0.6681,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
71,Oregon,531,0.642894,0.357106,democratic,0.6429,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
72,Oregon,636,0.583095,0.416905,democratic,0.5831,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
73,Oregon,4065,0.517018,0.482982,democratic,0.517,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
