precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
144,South Carolina,984,0.021039,0.978961,republican,0.979,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
145,South Carolina,1205,0.10647,0.89353,republican,0.8935,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
146,South Carolina,1346,0.11233,0.88767,republican,0.8877,0.749882,0.250118,democratic,0.7499,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
147,South Carolina,770,0.072508,0.927492,republican,0.9275,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
148,South Carolina,1549,0.118618,0.881382,republican,0.8814,0.356373,0.643627,republican,0.6436,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
149,South Carolina,764,0.0,1.0,republican,1.0,0.438421,0.561579,republican,0.5616,0.737317,0.262683,democratic,0.7373,0.048546,0.951454,republican,0.9515
150,South Carolina,1904,0.109146,0.890854,republican,0.8909,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
151,South Carolina,1029,0.002615,0.997385,republican,0.9974,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
152,South Carolina,1522,0.19428,0.80572,republican,0.8057,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
153,South Carolina,2038,0.120947,0.879053,republican,0.8791,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
