precinct_a,precinct_b,length
897,1222,121.38541607630354
915,927,121.81166162542655
916,924,144.57691699607344
923,1833,120.64508269365516
923,1415,115.00888652545741
925,928,120.58052410845622
937,976,122.57447983079925
938,992,150.6404589628802
942,957,122.06235538435011
947,948,61.04680576501076
949,958,121.82273739924241
950,957,86.91602039246135
951,954,122.35082658593106
952,958,121.80045746422678
953,954,121.85962411589492
955,957,151.20927290762128
955,992,128.21735939685192
956,993,128.76096046291
956,992,122.25427311327763
957,993,132.41643368030702
958,985,121.73161711002388
1010,1012,61.59401986002425
1012,1259,130.89659889065115
1030,1178,124.08402229497209
1030,1135,132.10569468754645
1033,1042,121.83016378446392
1035,1079,121.91928827785296
1040,1170,150.24393197035903
1042,1173,121.81903763847376
1044,1159,70.74488096106472
1048,1123,152.48838327808272
1052,1105,64.29041955082103
1059,1128,121.94952225601192
1060,1158,124.45698748025035
1068,1141,90.18350957187361
1069,1139,123.80359359905255
1071,1080,123.72982974272205
1072,1077,123.24885335264742
1073,1074,61.67952090039349
1075,1085,61.80408689037686
1078,1082,121.85922291014674
1080,1084,62.115006735827585
1081,1082,61.3524791870743
1081,1083,124.09258715473868
1084,1163,122.21494447266674
1086,1170,121.9565435222586
1092,1149,66.01939289301576
1100,1164,120.87119818601028
1114,1153,121.90258538163081
1117,1128,121.02165171211054
1119,1134,61.42391091296865
1124,2093,115.93941942870057
1126,1169,122.09703834700008
1134,1154,61.312582632147496
1137,1777,154.8382257581929
1141,1144,122.08845639235557
1142,1143,135.38284991060473
1145,1171,123.11339588277494
1159,1776,72.96962288324964
1164,1993,60.97769268327419
1171,2098,124.45770896818182
1187,1206,121.80171234211497
1193,1198,70.64581082780424
1205,1209,126.09052484520564
1212,1214,121.92707723342231
1257,1359,128.49737561403688
1259,1290,155.03493550536277
1260,1347,122.89776902057949
1261,1347,121.95215293320129
1262,1322,122.05603813693635
1268,1364,64.89783606340912
1272,1309,122.2395321995688
1278,1296,111.96997174019653
1281,1286,126.26154715245109
1282,1350,123.30567116859407
1282,1337,121.90792175091161
1282,1283,126.73712960943847
1283,1362,131.3323056933195
1284,1355,122.12171361157569
1289,1293,138.00036022285948
1291,1357,77.98114006180876
1293,1351,90.51256573010846
1295,1368,121.85598585081891
1315,1330,122.60617237096615
1315,1352,122.95893877707098
1326,1332,121.2466588455295
1337,1369,68.9638098596471
1351,1360,73.72585105516926
1353,1354,62.658398021590486
1374,1377,121.81544802024028
1383,1389,119.40745965707305
1400,1411,121.8467318240905
1401,1416,122.2844620083238
1402,1836,110.11077703582995
1402,1403,121.55353856683793
1414,1419,82.69708739351717
1429,1432,122.20555587829747
1449,2226,118.9884138374301
1450,1456,123.74851219170469
1458,1464,121.84595569362705
1463,1466,121.92214586140022
